vehicle_no,journeys,vehicle_id,start_time,end_time,start_x,start_y,end_x,end_y,distance,average_speed,fee
V015,1,H,01-01-2024 00:00,04:04.1,10.16948178,76.3720334,10.17447273,76.42425285,7832.760006,115.5126347,46.977233798375345
V015,2,H,03-01-2024 00:13,16:51.0,10.1694727,76.37205414,10.17447987,76.42427442,7840.984936,122.1816654,46.977233798375345
V015,3,H,05-01-2024 00:30,33:39.1,10.16948627,76.37202314,10.17446928,76.42424243,7830.96531,128.6703429,46.9738223728806
V015,4,H,07-01-2024 00:34,37:39.7,10.16948651,76.3720226,10.17446909,76.42424186,7831.107179,128.3348095,46.9738223728806
V015,5,H,09-01-2024 00:57,00:37.1,10.1694649,76.37207195,10.17448602,76.42429299,7833.61382,129.8757386,46.977233798375345
