vehicle_no,journeys,vehicle_id,start_time,end_time,start_x,start_y,end_x,end_y,distance,average_speed,fee
V015,1,H,01-01-2024 07:08,08:04.9,76.38715705,10.19254638,76.38685248,10.19314729,115.1007874,85.09310133,
V015,2,H,03-01-2024 07:08,09:03.5,76.38685248,10.19314729,76.39760514,10.18572933,1500.860578,85.09310133,
V015,3,H,04-01-2024 07:08,09:00.8,76.39760514,10.18572933,76.38695341,10.19268489,1436.271118,85.09310133,
V015,4,H,05-01-2024 07:08,13:05.5,76.38695341,10.19268489,76.44242803,10.16091151,7221.531596,85.09310133,
V015,5,H,07-01-2024 07:08,13:18.0,76.44242803,10.16091151,76.38608915,10.19510163,7517.642255,85.09310133,
