vehicle_no,journeys,vehicle_id,start_time,end_time,start_x,start_y,end_x,end_y,distance,average_speed,fees
V004,1,M,07-01-2024 16:07,34:58.1,76.37200158,10.16949571,76.42421825,10.17446128,7824.950442,5.33716336,
V004,2,M,07-01-2024 16:35,47:08.4,76.42945289,10.17072573,76.43777055,10.16674352,1027.76972,5.079429156,
V004,3,M,01-01-2024 05:32,32:03.9,76.37742046,10.17720669,76.37793564,10.17817809,134.6965679,123.1500596,
V004,4,M,02-01-2024 05:35,39:05.1,76.37201724,10.16948886,76.42423611,10.17446719,7829.794257,114.9892996,
V004,5,M,03-01-2024 05:37,37:02.0,76.37771611,10.17771777,76.37742968,10.17720399,73.77454299,133.257592,
